ds,yhat,yhat_lower,yhat_upper,segment_type,segment_name
2022-03-10,28084.91892274999,21461.433222024465,34821.191740948365,overall,All Sites & Brands
2022-03-11,30371.73778986028,23939.672053867285,37104.818812596546,overall,All Sites & Brands
2022-03-12,34918.64082213121,27532.756837623114,42138.90929490892,overall,All Sites & Brands
2022-03-13,45093.5955639698,38077.38511318169,51613.60826488137,overall,All Sites & Brands
2022-03-14,24711.97515484968,17609.137866196343,31287.219641513486,overall,All Sites & Brands
2022-03-15,32875.877933866395,26495.65939804725,40113.0249342099,overall,All Sites & Brands
2022-03-16,25033.65953743468,17763.608654458592,31993.169320526413,overall,All Sites & Brands
2022-03-17,26731.551020665967,19696.80027471089,33183.916542620624,overall,All Sites & Brands
2022-03-18,28800.152871533926,21953.44067192785,35605.55615636475,overall,All Sites & Brands
2022-03-19,33143.83418443836,26442.967428058604,40075.08906146929,overall,All Sites & Brands
2022-03-20,43135.737164128135,36445.936928122945,50125.33252830834,overall,All Sites & Brands
2022-03-21,22595.94195922933,15530.797679088995,29285.806849535613,overall,All Sites & Brands
2022-03-22,30630.65250302763,24153.289831664464,37361.64161131257,overall,All Sites & Brands
2022-03-23,22691.612722729806,15809.083229644415,29148.275097936526,overall,All Sites & Brands
2022-03-24,24327.62991938499,16859.190983670876,31285.22828783709,overall,All Sites & Brands
2022-03-25,26370.9978174096,19379.24907362041,33359.1682766291,overall,All Sites & Brands
2022-03-26,30726.85046302356,23503.980659602345,37493.43385699652,overall,All Sites & Brands
2022-03-27,40768.14828880617,33893.09695736111,47846.16817316783,overall,All Sites & Brands
2022-03-28,20313.85169695336,12978.675901740668,27120.296697560872,overall,All Sites & Brands
2022-03-29,28468.142393466693,21278.792750305165,35540.54539571608,overall,All Sites & Brands
2022-03-30,20679.90060911188,13568.257319176279,27850.951247496,overall,All Sites & Brands
2022-03-31,22494.313048768738,15671.007969112172,29595.529421283583,overall,All Sites & Brands
2022-01-01,3805.563488622293,3032.0173331274063,4644.923511406078,brand,Cala Grill
2022-01-02,4998.14840682157,4184.085045641526,5841.999126872167,brand,Cala Grill
2022-01-03,2963.2036277913185,2191.628527199396,3737.8450627239235,brand,Cala Grill
2022-01-04,3065.425554559829,2318.6937807966956,3878.80564008224,brand,Cala Grill
2022-01-05,2947.6567837307666,2195.772635294115,3743.9052607478275,brand,Cala Grill
2022-01-06,2975.6542265629187,2226.4285133589706,3777.0960473506584,brand,Cala Grill
2022-01-07,4448.342171520829,3704.3050780483195,5190.573403485689,brand,Cala Grill
2022-01-08,3413.5018389259035,2615.3854860702677,4171.850366386016,brand,Cala Grill
2022-01-09,4614.24041832102,3825.4985782423587,5442.097546017513,brand,Cala Grill
2022-01-10,2593.0457075388194,1809.7401539530654,3393.229987825523,brand,Cala Grill
2022-01-11,2714.371199135994,1950.3317125943859,3522.7354343744164,brand,Cala Grill
2022-01-12,2620.7007950441302,1835.1292165101804,3380.4850740994884,brand,Cala Grill
2022-01-13,2677.3253155306334,1924.103837664862,3475.446632596687,brand,Cala Grill
2022-01-14,4182.606662476706,3402.880948704656,5018.838125898635,brand,Cala Grill
2022-01-15,3183.6809058927483,2392.7878853849147,3987.4355247322014,brand,Cala Grill
2022-01-16,4422.942937047314,3640.926883116046,5214.110669746379,brand,Cala Grill
2022-01-17,2442.118402914358,1682.3178983237706,3235.253642797106,brand,Cala Grill
2022-01-18,2604.867317806419,1930.5888381070065,3460.1607569224625,brand,Cala Grill
2022-01-19,2552.868049161054,1801.908770347973,3360.8495159186027,brand,Cala Grill
2022-01-20,2650.613339162323,1865.1309091724117,3386.501743133301,brand,Cala Grill
2022-01-21,4195.693710209867,3433.916118042704,4940.0080719104435,brand,Cala Grill
2022-01-22,3234.5190184345915,2537.9347717056094,4015.3515870625633,brand,Cala Grill
2022-01-23,4508.820313712473,3709.9868914230383,5278.151542179332,brand,Cala Grill
2022-01-24,2559.7372700780984,1765.085876470343,3335.5444523547553,brand,Cala Grill
2022-01-25,2750.4351770525227,1948.5300626201501,3486.173360069172,brand,Cala Grill
2022-01-26,2722.1998410429806,1946.2430745511078,3490.3929420324353,brand,Cala Grill
2022-01-27,2839.2417763108388,2051.7150819335197,3554.9364697665997,brand,Cala Grill
2022-01-28,4398.984826582203,3603.381376886659,5137.182915164602,brand,Cala Grill
2022-01-29,3447.7898535261147,2677.082007006854,4214.5959168613235,brand,Cala Grill
2022-01-30,4727.455606444333,3939.3426371539704,5504.14795670572,brand,Cala Grill
2022-01-31,2779.302077444033,2005.4287220472465,3512.2524787199236,brand,Cala Grill
2022-02-01,2966.780456451496,2172.7927617853925,3813.4063977657083,brand,Cala Grill
2022-02-02,2931.5582390163418,2146.064160429811,3743.683881688243,brand,Cala Grill
2022-02-03,3038.3111449456374,2238.49837170133,3768.762471935733,brand,Cala Grill
2022-02-04,4584.9973337688225,3724.387458641034,5388.391519701681,brand,Cala Grill
2022-02-05,3618.564955888012,2833.772436809908,4334.1303083726025,brand,Cala Grill
2022-02-06,4881.435602396328,4071.1800029464353,5700.538214630836,brand,Cala Grill
2022-02-07,2915.569440346746,2125.6795338304473,3713.938561561142,brand,Cala Grill
2022-02-08,3085.0566510876533,2226.5706016594236,3883.0621482018123,brand,Cala Grill
2022-02-09,3032.1842344934444,2264.4897715434454,3831.7374328869105,brand,Cala Grill
2022-02-10,3122.2103399600687,2293.717158124374,3883.2979812911294,brand,Cala Grill
2022-02-11,4653.622091699661,3893.8248936944638,5483.534882808522,brand,Cala Grill
2022-02-12,3673.8283948053577,2871.2394961694217,4424.9849927284595,brand,Cala Grill
2022-02-13,4925.630685841514,4165.847805533729,5690.352700661062,brand,Cala Grill
2022-02-14,2951.277758324666,2223.882613479016,3705.577661000676,brand,Cala Grill
2022-02-15,3115.0495573563285,2340.87013187325,3874.4451462124234,brand,Cala Grill
2022-02-16,3059.31920860022,2315.748835293674,3853.9645485825354,brand,Cala Grill
2022-02-17,3149.3255650588367,2298.3444424793015,3954.2722306277187,brand,Cala Grill
2022-02-18,4683.432279026835,3913.8758048319287,5430.1668007789995,brand,Cala Grill
2022-02-19,3708.824841135873,2960.464991318507,4504.169588869948,brand,Cala Grill
2022-02-20,4967.988423932412,4169.463564571231,5737.807924179096,brand,Cala Grill
2022-02-21,3002.7724545784567,2120.0515650097313,3744.11696489956,brand,Cala Grill
2022-02-22,3176.9865326109407,2399.0876296730808,3983.7204249506476,brand,Cala Grill
2022-02-23,3132.4766142936833,2378.641378515865,3919.1824334849853,brand,Cala Grill
2022-02-24,3233.913348156903,2488.6682947740915,4058.5921454476597,brand,Cala Grill
2022-02-25,4779.068125599147,3921.7370730634084,5542.299514768693,brand,Cala Grill
2022-02-26,3814.5278134606583,3071.1905580263774,4581.1053721826775,brand,Cala Grill
2022-02-27,5082.190511793202,4332.095040692009,5905.708869249031,brand,Cala Grill
2022-02-28,3123.3477625904834,2328.637297490709,3859.014212415834,brand,Cala Grill
2022-03-01,3301.2973350622156,2540.813283749703,4127.0436342947905,brand,Cala Grill
2022-03-02,3257.435041149396,2447.918768584659,4063.1706099344988,brand,Cala Grill
2022-03-03,3356.057032950016,2539.061991032541,4131.716250483267,brand,Cala Grill
2022-03-04,4894.647760228257,4105.9329599268185,5663.954373390127,brand,Cala Grill
2022-03-05,3919.6042265693386,3186.079814356381,4708.529857116742,brand,Cala Grill
2022-03-06,5172.738625598073,4426.181636960728,5953.357505710905,brand,Cala Grill
2022-03-07,3195.3645945310054,2364.0725785743643,3977.0332882973808,brand,Cala Grill
2022-03-08,3350.9111005906816,2559.9210357214324,4123.511752779843,brand,Cala Grill
2022-03-09,3281.0123850515097,2500.368840666576,4073.6374703156193,brand,Cala Grill
2022-03-10,3350.3054694082807,2520.2347801237593,4142.93823237527,brand,Cala Grill
2022-03-11,4856.710534471467,4067.312707366921,5652.0873532649475,brand,Cala Grill
2022-03-12,3847.145019585043,3040.6324641815086,4662.648214342344,brand,Cala Grill
